Algorithm,Threads,Size,Time
quick,23,64,0.00051
quick,23,128,0.00049
quick,23,256,0.000465
quick,23,512,0.000436
quick,23,1024,0.000515
quick,23,2048,0.000519
quick,23,4096,0.000669
quick,23,8192,0.000804
quick,23,16384,0.001231
quick,23,32768,0.002184
quick,23,65536,0.004763
quick,23,131072,0.009931
quick,23,262144,0.020321
quick,23,524288,0.041212
quick,23,1048576,0.086364
quick,23,2097152,0.165878
quick,23,4194304,0.356846
quick,23,8388608,0.733386
quick,23,16777216,1.501234
quick,23,33554432,2.98225
quick,23,67108864,6.010008
quick,23,134217728,12.096761
quick,24,1,0.000021
quick,24,2,0.000021
quick,24,4,0.000019
quick,24,8,0.000021
quick,24,16,0.000021
quick,24,32,0.00046
quick,24,64,0.000459
quick,24,128,0.000477
quick,24,256,0.000483
quick,24,512,0.000473
quick,24,1024,0.00054
quick,24,2048,0.000546
quick,24,4096,0.000635
quick,24,8192,0.000844
quick,24,16384,0.00123
quick,24,32768,0.002196
quick,24,65536,0.005162
quick,24,131072,0.009882
quick,24,262144,0.02001
quick,24,524288,0.038853
quick,24,1048576,0.080861
quick,24,2097152,0.16521
quick,24,4194304,0.352922
quick,24,8388608,0.71338
quick,24,16777216,1.451859
quick,24,33554432,2.903026
quick,24,67108864,5.949492
quick,24,134217728,11.858653
quick,25,1,0
quick,25,2,0
quick,25,4,0
quick,25,8,0
quick,25,16,0
quick,25,32,0
quick,25,64,0
quick,25,128,0
quick,25,256,0
quick,25,512,0
quick,25,1025,0
quick,25,2048,0
quick,25,4096,0
quick,25,8192,0
quick,25,16384,0
quick,25,32768,0
quick,25,65536,0
quick,25,131072,0
quick,25,262144,0
quick,25,524288,0
quick,25,1048576,0
quick,25,2097152,0
quick,25,4194304,0
quick,25,8388608,0
quick,25,16777216,0
quick,25,33554432,0
quick,25,67108864,1
quick,25,134217728,2
