Algorithm,Threads,Size,Time
bitonic,16,2048,0.00051
bitonic,16,4096,0.000652
bitonic,16,8192,0.001084
bitonic,16,16384,0.001808
bitonic,16,32768,0.002703
bitonic,16,65536,0.004396
bitonic,16,131072,0.007397
bitonic,16,262144,0.013935
bitonic,16,524288,0.027215
bitonic,16,1048576,0.052809
bitonic,16,2097152,0.107612
bitonic,16,4194304,0.228848
bitonic,16,8388608,0.485624
bitonic,16,16777216,0.971366
bitonic,16,33554432,2.09885
bitonic,16,67108864,4.154135
bitonic,16,134217728,7.775338
bitonic,17,1,0.000452
bitonic,17,2,0.000374
bitonic,17,4,0.00037
bitonic,17,8,0.000389
bitonic,17,16,0.000332
bitonic,17,32,0.000329
bitonic,17,64,0.000318
bitonic,17,128,0.000359
bitonic,17,256,0.000341
bitonic,17,512,0.000388
bitonic,17,1024,0.000408
bitonic,17,2048,0.000532
bitonic,17,4096,0.000819
bitonic,17,8192,0.001297
bitonic,17,16384,0.002455
bitonic,17,32768,0.003242
bitonic,17,65536,0.005768
bitonic,17,131072,0.010352
bitonic,17,262144,0.022753
bitonic,17,524288,0.042104
bitonic,17,1048576,0.08082
bitonic,17,2097152,0.171351
bitonic,17,4194304,0.35105
bitonic,17,8388608,0.741434
bitonic,17,16777216,1.507044
bitonic,17,33554432,2.930087
bitonic,17,67108864,5.928993
bitonic,17,134217728,12.194182
bitonic,18,1,0.000054
bitonic,18,2,0.000026
bitonic,18,4,0.00002
bitonic,18,8,0.000019
bitonic,18,16,0.000389
bitonic,18,32,0.000393
bitonic,18,64,0.000357
bitonic,18,128,0.000358
bitonic,18,256,0.000418
bitonic,18,512,0.000452
bitonic,18,1024,0.000427
bitonic,18,2048,0.00058
bitonic,18,4096,0.00062
bitonic,18,8192,0.001648
bitonic,18,16384,0.003041
bitonic,18,32768,0.003686
bitonic,18,65536,0.005584
bitonic,18,131072,0.01227
bitonic,18,262144,0.022634
bitonic,18,524288,0.045463
bitonic,18,1048576,0.088431
bitonic,18,2097152,0.182292
bitonic,18,4194304,0.375946
bitonic,18,8388608,0.777072
bitonic,18,16777216,1.572233
bitonic,18,33554432,3.184123
bitonic,18,67108864,6.481175
bitonic,18,134217728,13.478602
bitonic,19,1,0.00045
bitonic,19,2,0.000357
bitonic,19,4,0.000366
bitonic,19,8,0.000371
bitonic,19,16,0.000398
bitonic,19,32,0.000432
bitonic,19,64,0.000363
bitonic,19,128,0.000361
bitonic,19,256,0.000397
bitonic,19,512,0.000426
bitonic,19,1024,0.000489
bitonic,19,2048,0.000648
bitonic,19,4096,0.000695
bitonic,19,8192,0.001389
bitonic,19,16384,0.003344
bitonic,19,32768,0.003953
bitonic,19,65536,0.008198
bitonic,19,131072,0.012823
bitonic,19,262144,0.026299
bitonic,19,524288,0.049796
bitonic,19,1048576,0.101508
bitonic,19,2097152,0.204783
bitonic,19,4194304,0.41689
bitonic,19,8388608,0.864586
bitonic,19,16777216,1.720889
bitonic,19,33554432,3.451352
bitonic,19,67108864,7.026658
bitonic,19,134217728,14.472721
bitonic,20,1,0.000054
bitonic,20,2,0.00002
bitonic,20,4,0.00002
bitonic,20,8,0.000019
bitonic,20,16,0.000464
bitonic,20,32,0.000396
bitonic,20,64,0.000422
bitonic,20,128,0.000379
bitonic,20,256,0.000381
bitonic,20,512,0.000429
bitonic,20,1024,0.000517
bitonic,20,2048,0.000666
bitonic,20,4096,0.001077
bitonic,20,8192,0.001649
bitonic,20,16384,0.003644
bitonic,20,32768,0.004855
bitonic,20,65536,0.007799
bitonic,20,131072,0.015658
bitonic,20,262144,0.02872
bitonic,20,524288,0.055394
bitonic,20,1048576,0.106872
bitonic,20,2097152,0.224072
bitonic,20,4194304,0.455192
bitonic,20,8388608,0.918704
bitonic,20,16777216,1.84296
bitonic,20,33554432,3.761412
bitonic,20,67108864,7.633673
bitonic,20,134217728,15.450699
bitonic,21,1,0.000568
bitonic,21,2,0.000493
bitonic,21,4,0.000403
bitonic,21,8,0.000458
bitonic,21,16,0.000429
bitonic,21,32,0.000406
bitonic,21,64,0.000419
bitonic,21,128,0.000423
bitonic,21,256,0.000458
bitonic,21,512,0.000458
bitonic,21,1024,0.000546
bitonic,21,2048,0.000687
bitonic,21,4096,0.001214
bitonic,21,8192,0.002099
bitonic,21,16384,0.003682
bitonic,21,32768,0.00482
bitonic,21,65536,0.00922
bitonic,21,131072,0.015555
bitonic,21,262144,0.031975
bitonic,21,524288,0.060539
bitonic,21,1048576,0.120768
bitonic,21,2097152,0.253139
bitonic,21,4194304,0.514865
bitonic,21,8388608,1.041438
bitonic,21,16777216,2.106638
bitonic,21,33554432,4.409649
bitonic,21,67108864,8.501778
bitonic,21,134217728,17.84978
bitonic,22,1,0.000053
bitonic,22,2,0.000024
bitonic,22,4,0.00002
bitonic,22,8,0.000019
bitonic,22,16,0.000487
bitonic,22,32,0.000481
bitonic,22,64,0.0005
bitonic,22,128,0.000444
bitonic,22,256,0.000463
bitonic,22,512,0.000493
bitonic,22,1024,0.000643
bitonic,22,2048,0.000834
bitonic,22,4096,0.001244
bitonic,22,8192,0.001539
bitonic,22,16384,0.004024
bitonic,22,32768,0.006184
bitonic,22,65536,0.011194
bitonic,22,131072,0.016518
bitonic,22,262144,0.032786
bitonic,22,524288,0.06605
bitonic,22,1048576,0.135535
bitonic,22,2097152,0.269696
bitonic,22,4194304,0.542978
bitonic,22,8388608,1.099875
bitonic,22,16777216,2.223048
bitonic,22,33554432,4.573233
bitonic,22,67108864,9.374621
bitonic,22,134217728,18.239476
bitonic,23,1,0.000584
bitonic,23,2,0.000506
bitonic,23,4,0.000449
bitonic,23,8,0.000444
bitonic,23,16,0.000465
bitonic,23,32,0.000441
bitonic,23,64,0.000424
bitonic,23,128,0.000434
bitonic,23,256,0.000439
bitonic,23,512,0.000534
bitonic,23,1024,0.000601
bitonic,23,2048,0.00078
bitonic,23,4096,0.000982
bitonic,23,8192,0.002212
bitonic,23,16384,0.003345
bitonic,23,32768,0.006791
bitonic,23,65536,0.009858
bitonic,23,131072,0.018902
bitonic,23,262144,0.03528
bitonic,23,524288,0.073944
bitonic,23,1048576,0.141565
bitonic,23,2097152,0.293932
bitonic,23,4194304,0.613153
bitonic,23,8388608,1.227475
bitonic,23,16777216,2.451013
bitonic,23,33554432,5.086576
bitonic,23,67108864,9.843414
bitonic,23,134217728,20.524401
bitonic,24,1,0.000051
bitonic,24,2,0.00002
bitonic,24,4,0.00002
bitonic,24,8,0.000023
bitonic,24,16,0.000488
bitonic,24,32,0.000485
bitonic,24,64,0.000554
bitonic,24,128,0.000477
bitonic,24,256,0.00062
bitonic,24,512,0.000546
bitonic,24,1024,0.000629
bitonic,24,2048,0.000812
bitonic,24,4096,0.001352
bitonic,24,8192,0.001894
bitonic,24,16384,0.003099
bitonic,24,32768,0.005976
bitonic,24,65536,0.010839
bitonic,24,131072,0.019857
bitonic,24,262144,0.036733
bitonic,24,524288,0.073692
bitonic,24,1048576,0.149038
bitonic,24,2097152,0.308752
bitonic,24,4194304,0.632361
bitonic,24,8388608,1.310405
bitonic,24,16777216,2.587187
bitonic,24,33554432,5.187419
bitonic,24,67108864,10.829559
bitonic,24,134217728,21.575599
bitonic,25,1,0
bitonic,25,2,0
bitonic,25,4,0
bitonic,25,8,0
bitonic,25,16,0
bitonic,25,32,0
bitonic,25,64,0
bitonic,25,128,0
bitonic,25,256,0
bitonic,25,512,0
bitonic,25,1025,0
bitonic,25,2048,0
bitonic,25,4096,0
bitonic,25,8192,0
bitonic,25,16384,0
bitonic,25,32768,0
bitonic,25,65536,0
bitonic,25,131072,0
bitonic,25,262144,0
bitonic,25,524288,0
bitonic,25,1048576,0
bitonic,25,2097152,0
bitonic,25,4194304,0
bitonic,25,8388608,0
bitonic,25,16777216,0
bitonic,25,33554432,0
bitonic,25,67108864,1
bitonic,25,134217728,2
