Algorithm,Threads,Size,Time
basic,21,134217728,2.20333
basic,22,1,0.000001
basic,22,2,0
basic,22,4,0
basic,22,8,0
basic,22,16,0
basic,22,32,0.000001
basic,22,64,0.000001
basic,22,128,0.000002
basic,22,256,0.000002
basic,22,512,0.000004
basic,22,1024,0.000007
basic,22,2048,0.000015
basic,22,4096,0.000031
basic,22,8192,0.000066
basic,22,16384,0.000144
basic,22,32768,0.000301
basic,22,65536,0.000641
basic,22,131072,0.001359
basic,22,262144,0.002861
basic,22,524288,0.006257
basic,22,1048576,0.012739
basic,22,2097152,0.026793
basic,22,4194304,0.057118
basic,22,8388608,0.119767
basic,22,16777216,0.256361
basic,22,33554432,0.509612
basic,22,67108864,1.0621
basic,22,134217728,2.229733
basic,23,1,0.000002
basic,23,2,0.000001
basic,23,4,0
basic,23,8,0.000001
basic,23,16,0.000001
basic,23,32,0.000001
basic,23,64,0
basic,23,128,0.000001
basic,23,256,0.000002
basic,23,512,0.000004
basic,23,1024,0.000007
basic,23,2048,0.000015
basic,23,4096,0.000031
basic,23,8192,0.000069
basic,23,16384,0.000142
basic,23,32768,0.000313
basic,23,65536,0.000687
basic,23,131072,0.001432
basic,23,262144,0.002856
basic,23,524288,0.006151
basic,23,1048576,0.012887
basic,23,2097152,0.027147
basic,23,4194304,0.056722
basic,23,8388608,0.117474
basic,23,16777216,0.248479
basic,23,33554432,0.509359
basic,23,67108864,1.07165
basic,23,134217728,2.233141
basic,24,1,0.000002
basic,24,2,0
basic,24,4,0
basic,24,8,0
basic,24,16,0
basic,24,32,0
basic,24,64,0.000001
basic,24,128,0.000001
basic,24,256,0.000003
basic,24,512,0.000004
basic,24,1024,0.000007
basic,24,2048,0.000016
basic,24,4096,0.000031
basic,24,8192,0.000067
basic,24,16384,0.000144
basic,24,32768,0.0003
basic,24,65536,0.000639
basic,24,131072,0.001349
basic,24,262144,0.002906
basic,24,524288,0.006057
basic,24,1048576,0.012786
basic,24,2097152,0.026932
basic,24,4194304,0.056558
basic,24,8388608,0.118264
basic,24,16777216,0.24979
basic,24,33554432,0.51058
basic,24,67108864,1.062263
basic,24,134217728,2.245052
basic,25,1,0
basic,25,2,0
basic,25,4,0
basic,25,8,0
basic,25,16,0
basic,25,32,0
basic,25,64,0
basic,25,128,0
basic,25,256,0
basic,25,512,0
basic,25,1025,0
basic,25,2048,0
basic,25,4096,0
basic,25,8192,0
basic,25,16384,0
basic,25,32768,0
basic,25,65536,0
basic,25,131072,0
basic,25,262144,0
basic,25,524288,0
basic,25,1048576,0
basic,25,2097152,0
basic,25,4194304,0
basic,25,8388608,0
basic,25,16777216,0
basic,25,33554432,0
basic,25,67108864,1
basic,25,134217728,2
